mm,big_Glass
0.8,21.00565852
2.1,19.15651051
3.2,18.56934933
4.3,17.05348539
5.4,16.01328037
6.5,13.75964941
7.6,11.25544884
8.7,8.718008108
9.8,7.875237717
10.9,6.66467444
12,6.388954886
13.1,5.501088967
14.2,4.616161354
15.3,4.238032189
16.4,3.686615606
17.5,3.784278352
18.6,3.306326585
19.7,2.846639959
20.8,2.643578817
21.9,2.650858732
23,2.376708786
24.1,2.339844309
25.2,2.256385008
26.3,2.054351889
27.4,1.884237788
28.5,1.949133604
30.8,1.540101851
31.9,1.67623363
33,1.612830499
34.1,1.531592097
35.2,1.456375132
36.3,1.386828425
37.4,1.301396692
38.5,1.272136744
39.6,1.336782233
40.7,1.279919978
41.8,1.215191946
42.9,1.195423632
44,1.148058852
45.1,1.177725026
46.2,1.238366447
