mm,tps_PSQC
0.8,22.033017
2.1,21.9404
3.2,21.858392
4.3,21.791715
5.4,21.689511
6.5,21.505497
7.6,21.248273
8.7,20.920535
9.8,20.545249
10.9,20.099724
12,19.398581
13.1,18.286081
14.2,16.752889
15.3,14.937662
16.4,13.187272
17.5,11.140775
18.6,9.233281
19.7,7.661668
20.8,6.543513
21.9,5.738058
23,5.083878
24.1,4.590142
25.2,4.192377
26.3,3.857089
27.4,3.558259
28.5,3.291956
30.8,3.063298
31.9,2.903328
33,2.752898
34.1,2.619592
35.2,2.485971
36.3,2.351794
37.4,2.236371
38.5,2.153533
39.6,2.070694
40.7,1.987856
41.8,1.904154
42.9,1.818999
44,1.733844
45.1,1.648689
46.2,1.574118
,1.516793
